	S110	S81	S13	S193	S194	S93	S169	S57	S73	S32	S68	S139	S196	S15	S170	S143	S195	S133	S45	S88	S53	S148	S174	S22	S186	S75	S67	S43	S30	S36	S99	S136	S111	S179	S106	S176	S29	S124	S40	S151	S3	S62	S20	S42	S9	S39	S165	S31	S87	S158	S66	S102	S145	S77	S184	S183	S101	S175	S69	S74	S10	S129
S110	0.0	0.5566679811718945	0.9151650238194498	0.3766032121555088	2.9161142335714207	2.833231590127686	2.6613344444993907	1.5937879386479488	2.4087207954214267	1.600433863393147	2.1500383015241558	2.905799452609827	1.474881941099214	0.505317047542343	2.9794020117065236	0.3384370657353042	1.9208465579256595	1.7025941217361982	1.2804575215942386	0.5201658827183989	2.8785547476663917	2.4735541405217036	2.6637898870186514	3.0073095382512633	2.99086912381639	3.6294710321519217	2.059036659686755	0.39204147117873034	2.849686983283803	1.860525993756719	1.9365032506708588	2.9888462397063376	2.304259153962815	2.058429499657066	2.9853390456202407	2.6953743579686456	1.9513003009881043	2.9559056221783844	2.1407169083071427	2.9301468195456333	0.3316714610066704	3.035244373646646	3.0917842917214067	2.271496878915304	1.8059993645284609	1.5420975008207936	1.5628297196322432	2.804849564405384	2.227879204824012	1.4590581422182745	2.339779159007794	2.0114321243946174	2.6426246501725292	2.041271851875849	1.5903088182365204	2.809139519645912	1.4836001460973722	2.625784842128514	2.014431904990625	2.3767541061568913	1.0861092873157137	3.621822920903547
S81	0.5566679811718945	0.0	1.3335628773246468	0.38972076542600753	3.292059369809587	3.2396923263812356	2.8231837693838204	1.7259075359680367	2.8280184873548277	1.6954916985605644	2.188728674148241	3.4365238413139743	1.8726121087481262	1.0485839594058837	3.2743647074270146	0.3970298837078684	2.3466570949212113	1.8329484680413877	1.6319528816123539	1.0762976464143112	3.4309411309651354	2.7534619985432864	2.823201605536258	3.232091358628369	3.443330444045208	3.931950111017792	2.338774044986045	0.2319380862411843	3.0520213122223523	1.9429877327711376	2.4480245140113683	3.527439174985981	2.7660689757619723	2.6060511509257602	3.48148797668325	3.1148269765273464	2.063665638872961	3.4062037959627047	2.5801557149750893	3.2900613205561258	0.6670759820531199	3.361958014791125	3.616562854484283	2.798549823805697	1.7362693169865278	1.847089771592791	1.781340963204149	2.911794320182804	2.327338928471372	1.6057596371285483	2.4599958929870245	2.452528584709739	2.9331532718145996	2.1854159592468645	1.8344218508551648	3.337145134793667	1.9901817363784533	2.916889170315022	2.0229128167085713	2.607210134327343	1.3504316174138498	4.174365500409501
S13	0.9151650238194498	1.3335628773246468	0.0	0.9656092529235608	2.0076379615432645	1.9358682957942415	1.898700800376755	0.9863797223046628	1.5106261508158527	1.0474408463870433	1.5989189260588117	2.1912889442969603	0.6060309716565707	0.7893944065648941	2.0899309753848025	0.9394603896262932	1.0364731975134167	1.078698730790422	0.4046773327860403	0.6977619626247104	2.309250213421524	1.601480234079888	1.8993386728809938	2.166420966928332	2.1136719710307195	2.7328468996715367	1.205787696950172	1.1550859466973469	2.033592095044041	1.2843243341403667	1.1849961867362728	2.7229123149962575	1.4480464972316176	1.481389785667916	2.1749523539767126	1.798175325414457	1.3153658765605605	2.0867220574902148	1.2565803829694342	2.0191508800229774	0.6722708481694377	2.146183693198111	2.355854542732169	1.5597369684781393	2.6439388085187723	0.7121580526570945	0.8296598953254137	2.096417865218214	1.5820130073620595	0.87746332737223	1.6452967973534247	1.1351752496611958	1.7610943597090032	1.3692581181041346	0.8323978354085394	2.0850405598471013	1.5848244448928894	1.744399209334264	1.5234100160804744	1.5488529546432135	0.47117294915534014	3.2210687001702745
S193	0.3766032121555088	0.38972076542600753	0.9656092529235608	0.0	2.9278223647580814	2.8791891420144307	2.5079658694873275	1.4136191840297525	2.4637862494949627	1.3902483807373673	1.9284961198992636	3.0994853966915876	1.523103414859335	0.8076149620628803	2.9172917057114653	0.07472174300776718	1.9897218581989098	1.5265391172812983	1.2666748124774065	0.8278658279599688	3.125592652050869	2.3992435047696694	2.502577041131112	2.891646742634147	3.078258124964337	3.5753888735613972	1.989605968008505	0.30976061369977315	2.718629916146249	1.6596473494712332	2.1071273350976076	3.2906961270357065	2.4108019383893216	2.292285406417633	3.1303415061918507	2.7507842473519406	1.7676680333187536	3.0489518925029357	2.218603556461275	2.9236085260072624	0.33664450400439666	3.012790097623516	3.27922945152797	2.462666005558687	1.950871883373082	1.4998975128395187	1.4441108706903087	2.612664874505992	2.0420477601276423	1.299422211891763	2.1554851423984034	2.0952563770933694	2.5780849204729264	1.8927389969868824	1.5015413160003266	2.9957070141504425	1.821434584474703	2.5619664616656053	1.770625402119647	2.2626863184736483	1.0176993911125323	3.9112608215133866
S194	2.9161142335714207	3.292059369809587	2.0076379615432645	2.9278223647580814	0.0	0.27329067489420816	1.3407833631722212	1.838022525587939	0.5813405196069154	1.9455070343960665	1.9509687913092955	1.6225935754459477	1.4560825937060602	2.7082682932774604	0.5813881667059139	2.903844368480355	1.0364798412892149	1.7804877413952938	1.6618184854456695	2.6018842972279943	2.162508446820971	0.7896903281624305	1.3622234070059893	1.0194492809835192	0.6638337006308968	0.8910537519780938	1.0669089657845379	3.112822787178846	1.1293007109649182	1.8628183145501638	1.425662167821253	3.182905621702794	0.8824814745863632	1.886819886186644	1.1379186290602123	0.3917415022703352	1.72374948664223	0.6550609606427602	0.8737547893989485	0.14918780462728176	2.6501415774758823	0.4134013509764846	1.5806655079321799	1.5006514765442645	4.611369497069275	1.468229193873181	1.6299724131243007	1.6366288577959454	1.6925078195007996	1.8861469753844655	1.582069317133124	0.991745308489973	0.6521066741647621	1.588549945006851	1.552075933307691	1.5609211079211367	3.018211653414429	0.6551268947388648	2.084904541797476	1.0759203451145767	1.9660402741903718	3.209090277539519
S93	2.833231590127686	3.2396923263812356	1.9358682957942415	2.8791891420144307	0.27329067489420816	0.0	1.528987756768652	1.8908178460495708	0.43801798991386115	2.0081424017317846	2.0688440280166773	1.3865643415559084	1.3733163679100489	2.596912741098221	0.838885213492248	2.8508905841578898	0.9153834878768234	1.8433479180840535	1.61900128582522	2.4848245595911616	1.9218266433521656	0.9459528437856523	1.558500572536746	1.2635703163990297	0.4667847211198857	1.1346124652571838	1.1309452090627226	3.050339499411329	1.3519958597215467	1.9477113487613258	1.2251862292467048	2.9600326218695043	0.6693843329124696	1.6713459172208405	0.8992127605991395	0.1831045992832017	1.8178786502915596	0.4129877333232596	0.7222231509348026	0.41674243436794056	2.5851723148325516	0.6178404841407028	1.3405757073071678	1.272728820623995	4.502489328236336	1.4514914238610779	1.6582407489839401	1.8398659748190718	1.8174448742689848	1.9138818797205108	1.732589434990997	0.8442476209380467	0.8428315543302438	1.6745004919054303	1.5654483644741326	1.3312054363836878	2.838916982115142	0.8410310439782122	2.192258796764492	1.2290653311913253	1.9335390376730335	2.9754002054588544
S169	2.6613344444993907	2.8231837693838204	1.898700800376755	2.5079658694873275	1.3407833631722212	1.528987756768652	0.0	1.0980088058476614	1.4795719267725451	1.1443936548637548	0.8012380817394896	2.776897555239504	1.529026207671514	2.6826500912549682	0.8649543797828467	2.496295917668839	1.5103963471083715	0.9907256768412456	1.5074374125651908	2.58497409369877	3.2261481290807343	0.6367754876863255	0.13501878454290098	0.5320957273270314	1.963649165141589	1.375381966918305	0.7882053914577588	2.697523380377824	0.3218000637490679	0.9124587613279936	2.1351770972228383	4.074226957545299	1.7832748311926725	2.665036796868447	2.38322989625666	1.563508479775662	0.7724964874647201	1.9380217825108337	1.5853917691675543	1.2399700676082375	2.3330476921534586	1.104730027614894	2.799709801624253	2.4097952664297875	4.430035228741192	1.2287646129125436	1.1029748199205827	0.33153208158422337	0.5632127439840512	1.2290832331566346	0.40424188822707374	1.5972154912547567	0.703435999461462	0.7004770044287494	1.1065917248492694	2.6874438592989254	3.393162927375677	0.7033076831328117	0.9803370137524268	0.44556407315949736	1.5965629030324484	4.293832175193563
S57	1.5937879386479488	1.7259075359680367	0.9863797223046628	1.4136191840297525	1.838022525587939	1.8908178460495708	1.0980088058476614	0.0	1.5845536029211509	0.14657704106576	0.6163123316864245	2.7059372828359445	0.9372153771977781	1.7011842240493038	1.6438918189387188	1.4027388524781341	1.2683515306415751	0.12087667305865814	0.7126548826800766	1.6159289318870889	2.9908356801385794	1.1307998284744432	1.0999624424284609	1.524282258408631	2.2383105926166738	2.2890395377526924	0.7727953167663912	1.6053693163790188	1.3337826583108745	0.30463750934000394	1.7800092281350326	3.5994326389211504	1.7257793323245942	2.238909317195082	2.4939056942966724	1.8238358800897092	0.36553950844210353	2.2047619068227258	1.4792977832029743	1.792447647004807	1.2627647035364822	1.7963724214520105	2.810391187456469	2.152037352197137	3.3509136632585226	0.5861919693892518	0.2751173744426522	1.2136697769322105	0.6478555916974569	0.18891845511261682	0.7486963333979783	1.4022199157666828	1.3149300029732283	0.5267355007012019	0.3985776489129332	2.6002223425366533	2.5711533183650506	1.3008742102822268	0.5479892050942976	0.9236798181508525	0.6071898022762169	4.00097237180108
S73	2.4087207954214267	2.8280184873548277	1.5106261508158527	2.4637862494949627	0.5813405196069154	0.43801798991386115	1.4795719267725451	1.5845536029211509	0.0	1.7026227122068782	1.8725929200748255	1.3015369494641236	0.9700173325255816	2.1627470538195466	0.9890470297432251	2.436472312457762	0.4974933215059022	1.5584485146003286	1.2157108250985609	2.055536684742736	1.7661320029116623	0.8544962704756618	1.499513603439368	1.3449376335388237	0.6628519253285766	1.4588940323616733	0.8844388902825517	2.6397687970165977	1.3706045185567717	1.6970173025610473	0.8564471016491673	2.715923309606419	0.3455924353012607	1.3501032776936994	0.9453400308569814	0.2876195917661476	1.5844861709089764	0.6320893446786567	0.29503218040827606	0.6592757208841153	2.168481403807241	0.8829499720589288	1.3323222101901655	0.9989618036822495	4.067191315083152	1.0935094444813873	1.3306852935834939	1.7927277046578574	1.6476588868328137	1.5911429161428636	1.582472335770785	0.42299512214564017	0.8385913510923935	1.4706699240077572	1.24077846236775	1.2177354523340913	2.4404656221540892	0.8292492732081359	1.9631855771488371	1.0962438718973515	1.5524985219432335	2.840184717395652
S32	1.600433863393147	1.6954916985605644	1.0474408463870433	1.3902483807373673	1.9455070343960665	2.0081424017317846	1.1443936548637548	0.14657704106576	1.7026227122068782	0.0	0.6002106871586064	2.8173736731366876	1.0591552918321188	1.7313079086072796	1.726916043059505	1.3862452686944102	1.3926650897536452	0.22088825163942963	0.808551162896232	1.6591793978061282	3.0968895946032653	1.2208645726369307	1.1340577126943772	1.582525936087696	2.3519582759883044	2.3679597854196475	0.8869324881586491	1.5927535826949675	1.3865439668356407	0.31837675324790765	1.891549383240599	3.680730098517887	1.8478550571524066	2.338059473707288	2.6122245613375186	1.9401203199224135	0.40915287586604576	2.3254324676143523	1.5991641100843967	1.8927023250031023	1.2723852972755454	1.9019661517450543	2.9269299137221636	2.2622150307680777	3.3281342785028603	0.7171051246848349	0.4055399485610835	1.2226187469828595	0.6801854403557079	0.2916854407989222	0.7695730909177281	1.5248628486238986	1.4053661627219043	0.6170182418750507	0.5400431263641658	2.709046328514803	2.6266552188117682	1.3922739563718975	0.4885487917798807	0.9960114296860241	0.6853639583290931	4.097385165174908
S68	2.1500383015241558	2.188728674148241	1.5989189260588117	1.9284961198992636	1.9509687913092955	2.0688440280166773	0.8012380817394896	0.6163123316864245	1.8725929200748255	0.6002106871586064	0.0	3.113935403936667	1.4495861428397414	2.305998185144564	1.5951678824317261	1.920293614259184	1.6779657454679875	0.5227065078597871	1.295378518181013	2.216618375925057	3.464701572861191	1.1780136436703512	0.8180052243841055	1.3261186764431439	2.481321188695819	2.1647955806296975	0.9899718279867323	2.093245605696583	1.1117494916135457	0.3147489673146913	2.2657762410216575	4.158862779874742	2.0892075102860104	2.7645216164881847	2.816023682103387	2.0529793030726937	0.324281952693956	2.4414511682475832	1.8529149884702178	1.8782130711236733	1.8215425415115414	1.783941805617391	3.183086387955564	2.616780405548695	3.8768499334867834	1.081354651833604	0.809648176623781	0.7867511530124637	0.2691824922697312	0.7392514602938671	0.43835334948271776	1.8039759456934572	1.3295950763342155	0.4525951630302277	0.8728405952699244	3.014661726805533	3.182752269935309	1.3207343836735068	0.20903633766050084	0.910687024676193	1.1905830533711272	4.5075649368903115
S139	2.905799452609827	3.4365238413139743	2.1912889442969603	3.0994853966915876	1.6225935754459477	1.3865643415559084	2.776897555239504	2.7059372828359445	1.3015369494641236	2.8173736731366876	3.113935403936667	0.0	1.8510218171541408	2.4854029365686223	2.172394417963208	3.069960619350949	1.4603853930565416	2.7151826164587485	2.1099535663339117	2.4121444309502573	0.5781351376462123	2.143744042412002	2.7874075766001964	2.584878309890039	1.0042034547350553	2.416169806908065	2.135887829285062	3.2415420488199134	2.6435419422356006	2.8905994116830334	1.0188707479490788	1.686370983453283	1.0402979539227468	0.9101054389364807	0.5458906356282455	1.2692110911340604	2.8030885311634055	1.0366123033860146	1.2629319808315502	1.7367882759565867	2.793263730576711	2.004073869114508	0.24863453485872147	0.6407574558480214	4.194260361856533	2.1481184034039895	2.43459458795518	3.082714018605487	2.913608883388198	2.6714142112637123	2.857719906738741	1.3260319559655165	2.111973360155833	2.710238131984874	2.348674393407252	0.12963503092763676	2.185906167423299	2.10577101559989	3.171235709354266	2.3790535909985886	2.4542476416644496	1.5901877245082876
S196	1.474881941099214	1.8726121087481262	0.6060309716565707	1.523103414859335	1.4560825937060602	1.3733163679100489	1.529026207671514	0.9372153771977781	0.9700173325255816	1.0591552918321188	1.4495861428397414	1.8510218171541408	0.0	1.3239168445216052	1.5866325758924904	1.4884780440371723	0.487931106219272	0.9682373224505482	0.3378501968477397	1.195173542327983	2.0912479694558725	1.1327935276959331	1.5534689640507469	1.7227692795424467	1.6019574537652181	2.208029012261764	0.75864522754829	1.6781414197013185	1.6195640420185613	1.1662679856775942	0.8751442210509475	2.7467764481728016	0.9444270758076191	1.3453562782567612	1.717004172079277	1.2530912111675618	1.1328693560336451	1.5503285955575492	0.7381068677601845	1.4831809577194164	1.218095869808863	1.5823701280074598	1.968671639118512	1.2612629142348486	3.2149615635345024	0.3698957324213006	0.6732790312424438	1.7920535674556128	1.3366953066873335	0.8517779089355682	1.3834193924260676	0.6105229547076001	1.267653303494201	1.0844499117849347	0.5791701982912151	1.753408799620948	1.9014985143667678	1.2501282207713753	1.4556040500366392	1.1553593319528848	0.6273718368749144	3.1075376946869095
S15	0.505317047542343	1.0485839594058837	0.7893944065648941	0.8076149620628803	2.7082682932774604	2.596912741098221	2.6826500912549682	1.7011842240493038	2.1627470538195466	1.7313079086072796	2.305998185144564	2.4854029365686223	1.3239168445216052	0.0	2.8536838214730853	0.7848853797524041	1.6927408697312252	1.8063260752479908	1.1928891341259367	0.1925135162622234	2.416006853415336	2.3803682992896937	2.6800499663475783	2.951024600277336	2.685405524994789	3.483909028965716	1.9923372289660455	0.8971950379700256	2.8205851457660254	1.9960545062902346	1.5714020352334277	2.4913754929056102	2.0098184214515737	1.6090091460117246	2.625294199184263	2.4419582024373163	2.054603360758761	2.66343149668208	1.8783087822312567	2.735756644145293	0.6265301000552286	2.889606780542273	2.6866873951870516	1.8671892878987881	1.908357289365275	1.49405625886515	1.5954789574963137	2.86480391495972	2.330651212202217	1.5781471511541094	2.4077747789392125	1.7564563108192937	2.533498789467826	2.1239032329638587	1.6048239271178129	2.3895859752732513	1.0294230992361535	2.5169733812383783	2.1960148918536095	2.3354719059036677	1.1521766717171267	3.1294320905658806
S170	2.9794020117065236	3.2743647074270146	2.0899309753848025	2.9172917057114653	0.5813881667059139	0.838885213492248	0.8649543797828467	1.6438918189387188	0.9890470297432251	1.726916043059505	1.5951678824317261	2.172394417963208	1.5866325758924904	2.8536838214730853	0.0	2.900652525873199	1.3000835139658395	1.5642804410487465	1.701140235481772	2.7542947321373386	2.695208962372503	0.5230634532062071	0.8726901599751362	0.44618170814087893	1.2337775221181417	0.6589567825358622	0.9432785376562305	3.1179102888930488	0.5922392147826365	1.5880544247680448	1.8238979951991308	3.661889274956855	1.3329292063116496	2.321915088093743	1.711102913843214	0.9236098713357263	1.4377912870013536	1.2361802626191107	1.2278683167325737	0.45095984288544216	2.6798035009583394	0.3955811604697176	2.149930636818773	1.9758558244512747	4.7219673689241795	1.4577698897207805	1.5078666439938269	1.1182939518350994	1.3344178409156715	1.7383968837441608	1.1810966001839882	1.3128212111436193	0.34300766950992706	1.3232697884736855	1.4634107098013323	2.0984386864386035	3.327946055566207	0.35991608884966503	1.7498419882900649	0.736739996929058	1.947173251380448	3.745353805020782
S143	0.3384370657353042	0.3970298837078684	0.9394603896262932	0.07472174300776718	2.903844368480355	2.8508905841578898	2.496295917668839	1.4027388524781341	2.436472312457762	1.3862452686944102	1.920293614259184	3.069960619350949	1.4884780440371723	0.7848853797524041	2.900652525873199	0.0	1.958234908845145	1.5137553384670082	1.2420983058281414	0.7901870158475923	3.0954644249955763	2.382660429471438	2.494720797347032	2.879830837653176	3.0512783433998254	3.55798405976311	1.9690187231865772	0.27259522335748076	2.707662439204354	1.6488809456455316	2.074410859342642	3.2700475553417805	2.3790080262824644	2.2625634604344174	3.0992553631047457	2.7235474432965283	1.7557736001647655	3.0179750435462998	2.189409918870531	2.9026002722340998	0.28793837238309206	2.9871401931407764	3.2473623729320953	2.4316200539672854	1.9669786968349041	1.4724508024142762	1.426156110675629	2.6076643331644904	2.0295030919680754	1.2805532840667988	2.14801856117435	2.0638895380874884	2.5604422910731484	1.8719183868607154	1.4767805866296626	2.9678609171683945	1.7996074347136695	2.544102384743448	1.7672179769941347	2.250337101615513	0.98571741229212	3.8854589432324427
S195	1.9208465579256595	2.3466570949212113	1.0364731975134167	1.9897218581989098	1.0364798412892149	0.9153834878768234	1.5103963471083715	1.2683515306415751	0.4974933215059022	1.3926650897536452	1.6779657454679875	1.4603853930565416	0.487931106219272	1.6927408697312252	1.3000835139658395	1.958234908845145	0.0	1.2683260344883902	0.7694233701583054	1.5750406013108083	1.7969435787977799	0.9622455743990354	1.534499725535051	1.5486810608044175	1.114218887524214	1.8651609860598166	0.7509850268718038	2.1526264685389775	1.5044593954142658	1.4422040973548627	0.6343155991666489	2.6086216639027002	0.4730959482424455	1.176245987162999	1.2542901749583042	0.7800570450943696	1.3629061466181422	1.0658664492474188	0.25416264908187314	1.0887788671724028	1.6846099173701696	1.2417256693265308	1.5501125961386966	0.9515535022031221	3.6010934949565643	0.7046939065594044	0.9946225997311015	1.8121500526699115	1.4991300436828376	1.2319877376520187	1.4887071933523874	0.1375700180124688	1.0377536601201602	1.271889060678225	0.894921167942366	1.365820414878873	2.066792563440141	1.0223423956166793	1.7298370968783174	1.1033005712361421	1.1021010473838615	2.8590829006657494
S133	1.7025941217361982	1.8329484680413877	1.078698730790422	1.5265391172812983	1.7804877413952938	1.8433479180840535	0.9907256768412456	0.12087667305865814	1.5584485146003286	0.22088825163942963	0.5227065078597871	2.7151826164587485	0.9682373224505482	1.8063260752479908	1.5642804410487465	1.5137553384670082	1.2683260344883902	0.0	0.7779335213035578	1.715087212487814	3.018939428915744	1.0582162726951536	0.9998937233071807	1.429907258415875	2.207676482333977	2.202867024283717	0.716369068262885	1.7100933391925288	1.2363248318327773	0.21224917837719187	1.8078848494693762	3.6596719525768986	1.7175004654288737	2.2829251336830976	2.480196313539446	1.7869969540263377	0.2509956327025445	2.170349404835386	1.4726279614917313	1.7319245185143994	1.3710723118745776	1.716076490626561	2.809789793817362	2.1751958247528456	3.466097947455229	0.6038130753651555	0.30254975591324784	1.110643272506457	0.53212588265749	0.2585103454392919	0.6449540746493421	1.4015798835624977	1.2394880692188304	0.40877852812685644	0.3991694618892337	2.611667114862172	2.661598300966725	1.2257752005576463	0.4889050092249985	0.8422686450374299	0.6917254944846679	4.041412944545808
S45	1.2804575215942386	1.6319528816123539	0.4046773327860403	1.2666748124774065	1.6618184854456695	1.61900128582522	1.5074374125651908	0.7126548826800766	1.2157108250985609	0.808551162896232	1.295378518181013	2.1099535663339117	0.3378501968477397	1.1928891341259367	1.701140235481772	1.2420983058281414	0.7694233701583054	0.7779335213035578	0.0	1.090613228735363	2.327108572261446	1.2044017410257084	1.513258115817477	1.7677206265214145	1.857662591361037	2.349199204773718	0.8018012652214346	1.4583302004166525	1.635799150051408	0.9894326790100489	1.1259309467415504	2.894136875565169	1.2285745527473697	1.5442915050997381	1.9966015975520843	1.4989675462254173	0.9867241990386998	1.8259340623839406	1.0030535872187127	1.6629362551283275	0.9942947556701247	1.766346019543774	2.2446142830981493	1.5103058496165516	3.0392929811619567	0.31882674222293045	0.48741258331420717	1.7240217149881096	1.2338535647372397	0.6319867508949311	1.283422203551516	0.8921424560905319	1.3670974264351408	1.0134966699224137	0.4668741405949348	2.0034643084080526	1.9185091184157206	1.3502019664292688	1.2587482471932927	1.1521864817571519	0.385974387830494	3.312138534855423
S88	0.5201658827183989	1.0762976464143112	0.6977619626247104	0.8278658279599688	2.6018842972279943	2.4848245595911616	2.58497409369877	1.6159289318870889	2.055536684742736	1.6591793978061282	2.216618375925057	2.4121444309502573	1.195173542327983	0.1925135162622234	2.7542947321373386	0.7901870158475923	1.5750406013108083	1.715087212487814	1.090613228735363	0.0	2.361937711923385	2.2809475743111647	2.590909008448679	2.856032142313972	2.5875706425315923	3.3825912268664706	1.885420997095832	0.8934045054183188	2.7262890654012852	1.9057582934277828	1.4740053330117249	2.504675858883404	1.8998506360654626	1.5483749022275148	2.5302511137151247	2.3351652886354923	1.961024653807002	2.5541865564756554	1.769886251414327	2.634423266214376	0.5829804322805234	2.7718761987357996	2.6031501701605517	1.7850974605910694	2.038391773261659	1.3777697317685216	1.497712531086622	2.778584746029142	2.2322701589495058	1.4803339957422044	2.3196973358631126	1.6420846674205598	2.4319605650684473	2.0114109832214573	1.4922288842289837	2.3197208751670497	1.0779950720450535	2.415001819777077	2.1176455759944792	2.2423809469796305	1.0394162258469581	3.113024726193701
