	S49	S33	S110	S89	S156	S81	S19	S155	S132	S90	S181	S173	S144	S120	S100	S83	S108	S164	S32	S103	S161	S180	S68	S143	S177	S79	S133	S11	S178	S174	S6	S36	S27	S149	S17	S4	S3	S127	S107	S65	S9	S121	S115	S165	S91	S189	S172	S158	S66	S97	S188	S1	S125	S85	S134	S72	S135	S41	S69
S49	0.0	2.463706193989971	2.7250072591634136	0.3907604164603178	0.4367035342888316	2.9552769744535032	2.116341308338624	2.7683791932696047	2.225805782665394	1.136378340338056	0.44727574778962986	0.5133567406560725	2.2020631775557247	0.13226289280877204	2.3734309211357973	2.1134734923669423	1.309827211850663	1.943004835890545	1.9570623410782426	1.6910517410579469	1.571400154627709	0.7067801949657572	1.7997959317393997	2.609653353033607	3.027578649535727	1.4383662240838269	2.091049219057511	2.2980691101069772	3.079837214319586	0.5579497053454174	1.9972048929092898	1.4081408567416047	0.8331180250351399	3.6500868535720534	1.2413636745495353	3.4045589911805014	2.740780023962919	1.626617903520956	3.8325793758109215	1.6754375325415949	4.402626317500721	1.3505756097973203	0.6996647234828666	1.7001769736279084	4.752214003712446	1.9031110205793018	1.7325163489738604	1.7149703435970576	0.9434835976408359	1.5279461151373144	0.21044401374274407	3.240481900060665	0.8987695874565974	0.3638221252605786	1.6454825852284174	0.20940876641855793	0.444033246229693	0.978240595498544	1.8319630784298617
S33	2.463706193989971	0.0	1.0761016488390283	2.1115307853508516	2.13715104712198	0.5442319435142365	0.48181554966505774	0.45954417804332737	0.26161659488557487	1.6058961623662826	2.5019953881360273	1.9869358407733058	2.8215478700574512	2.4868142071945267	1.305506977725983	2.411745156710464	1.64906374978028	0.8061898799913958	1.0336793608690453	0.775438982920267	3.0073108709839853	2.280375466167155	1.7262765047217814	0.3528635275643274	2.876562963253557	3.071848585525585	1.3120991077791555	0.9761147477185727	2.938514132049616	2.2789266101927463	0.4836733854627146	1.2433307341072959	1.6563678202383794	1.7259849688557147	1.3615950216653823	1.6077779987270304	0.312630527384698	0.8920460544649078	1.8385793681648368	2.1686945061188423	2.0545629917895565	1.5810367241100056	2.4827181979823862	0.8074801347281702	5.232700169736355	1.100582225857946	1.0989646309866203	0.8132672855234823	1.7888078517221848	1.1052221719743809	2.4543206101417656	2.31319057734052	2.4710827899535146	2.422089672353649	0.8824987800610224	2.276784373457926	2.167033858758702	1.6389367496006058	1.5208721399951057
S110	2.7250072591634136	1.0761016488390283	0.0	2.351923300670253	2.312536959181007	0.930604526279994	0.9704150679349356	0.790875844696079	1.0889074344818346	1.6089343356152515	2.585363491421502	2.340486015300162	2.172607942539261	2.7813945645584592	0.5021479952813168	1.7446304468780158	1.4997943855822873	1.7155432157551374	1.9630867223843844	1.3425672216510895	2.653278826881499	2.287098553214583	2.632132469559889	0.7615960322853077	1.9385649833692935	2.78783108534823	2.3030137118847986	0.46752498903111483	1.9958937065773175	2.7430014140640218	1.1102496289095145	1.9599195649047072	1.951021029884567	0.9683942746735609	1.4879338353279339	0.7377288560940962	1.249716949459622	1.433084637884665	1.1202802258703817	1.699226853016721	1.8200487473610565	1.4376279099790805	2.464935024661677	1.507208801733146	4.302446904605516	0.8269957804560144	0.9926265368925494	1.5645652550642433	2.3737493811046817	1.220362525440661	2.722966152842446	1.2510392471987049	2.355935812072385	2.8084262884097666	1.4591125388384203	2.5683310835379247	2.580136830805461	1.7486026154956078	2.440324337323376
S89	0.3907604164603178	2.1115307853508516	2.351923300670253	0.0	0.23518209613012314	2.5920300328375014	1.767490833743055	2.4086383875510258	1.8785290661820515	0.7754259821225095	0.5214568260545819	0.34874037427401366	2.0115385607557252	0.47441752896554557	2.0133590690167646	1.8671284293839692	0.9657017016416005	1.6586185030803402	1.712155448211929	1.3457960052129931	1.5195125066026773	0.5987824785390333	1.6722995634569942	2.2468432961774907	2.7707033818134192	1.4405987733295602	1.8847300926250494	1.9172925270421182	2.827279928473571	0.6644990859064788	1.6364561803294828	1.146982708407792	0.5143657896503522	3.2885995212961476	0.8696627353888322	3.0440705712427865	2.3964138279246447	1.3047851291336394	3.464902265411344	1.4124458846175316	4.033555059164368	1.0015492182163257	0.6827198458028853	1.379613679078427	4.63011874588998	1.5357215139641134	1.3603938129966875	1.3951649372118564	0.8095477488250903	1.1494861218182724	0.4804463785242198	2.9115187299127863	0.8075216831850132	0.5881262091270913	1.3288496842179742	0.29439382705170863	0.4133636732174551	0.6115837101035613	1.6647815004555506
S156	0.4367035342888316	2.13715104712198	2.312536959181007	0.23518209613012314	0.0	2.601975342847661	1.7549272252563328	2.402685447356234	1.8934529585995872	0.7225047583853654	0.38610520505130297	0.38404470851510086	1.8900072593236776	0.5011470747636405	1.947617859486902	1.743968453572731	0.8909515186583407	1.70499094586827	1.7638327381382022	1.369262959230282	1.395230597241448	0.386303723013604	1.7780837304839083	2.246151915626625	2.649547453666418	1.3117929475338277	1.9694725247952123	1.8966776478155571	2.70322194901429	0.7326635994977627	1.6657848577008953	1.2266312733903995	0.49711020433346403	3.2287892986353417	0.846533367077805	2.9802391944540254	2.428649712028409	1.302097808048516	3.4151537675032153	1.3020679628598228	4.016564837046363	0.928494947070589	0.5009932641636744	1.4131534678151911	4.491420654120858	1.4865015355409548	1.3242007378784402	1.4485877000966838	0.8931660518510789	1.1431814234495128	0.44070496072843796	2.820148125210677	0.6561420201136297	0.6358082572807897	1.328892563522923	0.32716198034878013	0.579090436719918	0.5742206057011806	1.759560114441557
S81	2.9552769744535032	0.5442319435142365	0.930604526279994	2.5920300328375014	2.601975342847661	0.0	0.8768769843436868	0.2557243387485451	0.7620171164130582	2.002233790577591	2.949540953332725	2.48922057967156	2.994667062775023	2.985394250011149	1.3376147090005674	2.56847019104047	1.9952881709001375	1.333235828644408	1.5433496838990342	1.2790693930916606	3.3175803504868107	2.6992214445929865	2.2470213877369325	0.3682007206961412	2.8656882927904177	3.410347225443783	1.8017720608342933	1.0645962476163164	2.9237078775002074	2.8036846403884086	0.9670819986433133	1.7857175352476768	2.1373821187665323	1.3022362652637611	1.7834497463711776	1.2481637858827639	0.4578582390155297	1.3859096638729103	1.3761226216353477	2.4116518164343503	1.5124082766240363	1.9254549276127617	2.899620692614267	1.3377494716772025	5.231783953394986	1.3439674251366376	1.411853221421781	1.3532696155635557	2.3238379892480174	1.5013903458028117	2.945710505023107	2.155962360362324	2.8579657232620725	2.9365034025549153	1.3822417497038877	2.771776103503326	2.684024371480587	2.0703627838987058	2.039475745885722
S19	2.116341308338624	0.48181554966505774	0.9704150679349356	1.767490833743055	1.7549272252563328	0.8768769843436868	0.0	0.6643735637947329	0.260234587713337	1.2090291210993822	2.1047951108353793	1.6430726587076407	2.434766238215986	2.1397445527219046	1.022134874188278	2.0252278071080223	1.2432694431317048	0.7628545594852391	1.0030217983821934	0.48390479795137525	2.5913245490701327	1.8559904518649644	1.6846974645863215	0.524443282684896	2.5561849293331216	2.6501184548464667	1.363537692282133	0.7752556706751523	2.616629220887954	1.9751621714572896	0.3277910257618945	1.0612041278650115	1.285785206114658	1.7506043180980266	0.9719605186704703	1.5757189896983537	0.7722822257042637	0.5421296112568873	1.9113740101158367	1.7701694262081002	2.3152650751102137	1.1719081009497416	2.062388401375156	0.5852637739053128	4.884174116704246	0.7188277164805561	0.7080969429956667	0.6587210868743264	1.5294963591933315	0.735508796214947	2.0891171456457145	2.1029855408647657	2.05252301919374	2.0951689048508144	0.549782521621208	1.9264501914999157	1.8743309456343922	1.2520184934015421	1.4898315799394295
S155	2.7683791932696047	0.45954417804332737	0.790875844696079	2.4086383875510258	2.402685447356234	0.2557243387485451	0.6643735637947329	0.0	0.6063336732553574	1.8012559542869415	2.744251043297075	2.301595843793872	2.799227956952141	2.7970164426818407	1.1485748407250522	2.3691095514913747	1.7899526883710006	1.2169360477646338	1.4373156527699769	1.1070679825085168	3.109309344431657	2.483031563224215	2.157521677877215	0.1708004239468719	2.6975959638124936	3.198558344488272	1.7361152225769527	0.9015571318402954	2.755155169109175	2.627931728326592	0.8167247817331597	1.6462561959959516	1.942084495037489	1.2783039570181356	1.5853610644768108	1.1821404487633747	0.5059345092129374	1.1945164412446916	1.3934514395428614	2.2085997573525304	1.6606426101729665	1.7184325367024482	2.685285284948936	1.179788930590773	5.063340621771677	1.1332959019246758	1.2067032171626895	1.2149153706090772	2.162160119603845	1.3099594187169328	2.7495043779612125	2.0304000244508456	2.6463821503679132	2.7535374494878795	1.1942615654170652	2.5827242999631386	2.517019104044426	1.8727119751215855	1.9497317636603597
S132	2.225805782665394	0.26161659488557487	1.0889074344818346	1.8785290661820515	1.8934529585995872	0.7620171164130582	0.260234587713337	0.6063336732553574	0.0	1.3802488276453138	2.258077490796307	1.744353942851177	2.6535111796976856	2.246193395322995	1.2183832267418075	2.2490786337377573	1.4354498843879016	0.6487814411502987	0.893221617917203	0.5355390838119969	2.7941941248825266	2.034048313598734	1.5888350844303123	0.46974591384978176	2.7724519334406748	2.848825241715737	1.2186540995916648	0.9144845442448543	2.834250062707537	2.0444764919157525	0.29208067261350856	1.0400680833459306	1.4099816513129697	1.8213629354216767	1.1305349747810576	1.6734564519836332	0.5516754488706027	0.6354205559678161	1.9589214734812015	1.982659738405453	2.2578758984976575	1.3670859256563204	2.238639940921353	0.5782965396088472	5.110501025888093	0.9326776327762023	0.9072407210083202	0.6093691937175987	1.5646077172134671	0.8924040181925577	2.208212523284963	2.2808396723640065	2.2371023043163336	2.183162714421524	0.6278509423620933	2.0356525556211476	1.941491593841981	1.4051764988498223	1.386435220153897
S90	1.136378340338056	1.6058961623662826	1.6089343356152515	0.7754259821225095	0.7225047583853654	2.002233790577591	1.2090291210993822	1.8012559542869415	1.3802488276453138	0.0	0.9929753404652804	0.8622732967171973	1.5718586284478204	1.2089359559430901	1.2409114225671933	1.2946723266653566	0.2283305216130986	1.434028826660003	1.5902615278785883	0.9296721378597741	1.45125044714569	0.7461164517656113	1.8779364335990312	1.6440916344610277	2.13502722711409	1.4844464803675677	1.881712535058557	1.1868688422652	2.1959224393990677	1.3024574393235597	1.1384400547676434	1.1351390879826582	0.536536994353074	2.5416211364549692	0.2630393744395629	2.2890468274665916	1.9161941262199307	0.9247051916564657	2.719748405004472	0.8634127498507432	3.3571565800772545	0.23797778832834143	0.9234834600264081	1.0664490080022309	4.216779824658507	0.7866471310120774	0.6319480540993787	1.1204754112191662	1.1571760000709268	0.5075675500623245	1.1564551134873002	2.1570100067071336	0.8711860737932299	1.2936709818316343	0.9686167637234648	1.007621364156257	1.098849704126104	0.18865406687464553	1.7820303448105121
S181	0.44727574778962986	2.5019953881360273	2.585363491421502	0.5214568260545819	0.38610520505130297	2.949540953332725	2.1047951108353793	2.744251043297075	2.258077490796307	0.9929753404652804	0.0	0.7186058315797026	1.800794971962249	0.5242986507146679	2.1788763347508806	1.7417039974274224	1.103716908924266	2.0886800783888915	2.143010432754434	1.741638369491847	1.1536741640467052	0.34816453086644017	2.1187851163249443	2.5893786124135842	2.6530573529285624	1.022653759319085	2.3414827233514166	2.176701646779036	2.7011832400329765	0.9308034208639459	2.0290407533242183	1.608485564529401	0.877508271684002	3.4893443718538806	1.172573568961232	3.2318968679729063	2.798457652693031	1.67224565066641	3.6799846949232817	1.331334118229055	4.331389277884993	1.1566641514548448	0.26024309596081	1.7942199158421155	4.320144196749645	1.761691823799013	1.616473507251149	1.8326601340167779	1.228806741999811	1.4678613556649827	0.4608061072717978	2.948871115373919	0.47846090417793025	0.7504347485432754	1.700788440616015	0.5032782882403191	0.8196081253578187	0.8890362490878505	2.117261544997317
S173	0.5133567406560725	1.9869358407733058	2.340486015300162	0.34874037427401366	0.38404470851510086	2.48922057967156	1.6430726587076407	2.301595843793872	1.744353942851177	0.8622732967171973	0.7186058315797026	0.0	2.2328202994292607	0.5058340494072063	2.039705987525188	2.044280714862982	1.0748068768292942	1.4415476815608126	1.4606080497389244	1.21387718011438	1.7788777519597274	0.7406285056918647	1.4045576852949908	2.147320261806151	2.93076507195196	1.6936432651710533	1.6304162722641415	1.9304978113524718	2.9866977899745892	0.4410943801218604	1.53598766135863	0.9258041536489028	0.38997944536906604	3.249252815309149	0.8710501920504526	3.0169375078392133	2.2568856780939877	1.1317645120581676	3.43174508847052	1.5999350263467815	3.95110003573852	1.0900859842676374	0.868694826290053	1.2054176606382232	4.850406891164491	1.5391588075526683	1.3622509138074974	1.2275235026058733	0.5141245995901249	1.1389502555503699	0.4780712151127089	3.0030256391767924	1.0382525316866975	0.4685639968283028	1.146624745236214	0.30750453005438555	0.3478240989417272	0.6765987775645349	1.398900536247202
S144	2.2020631775557247	2.8215478700574512	2.172607942539261	2.0115385607557252	1.8900072593236776	2.994667062775023	2.434766238215986	2.799227956952141	2.6535111796976856	1.5718586284478204	1.800794971962249	2.2328202994292607	0.0	2.301435931923526	1.690504660740759	0.44106764653043734	1.3754678160423397	2.9276122097137427	3.113559421391004	2.3782220898163273	0.8928825291365702	1.585003097275966	3.4470186048614164	2.684761448560588	0.9978092504434715	1.1189792048205898	3.434645142446951	1.9430449774413776	1.0327163252681337	2.622279254359746	2.4574678775651146	2.704822257313311	2.0370445754820397	2.846313330750099	1.79201053596015	2.577425271323677	3.1180917828605854	2.3853063823230856	3.010667944570784	0.716926442809811	3.9143919324307097	1.417814288490298	1.5695922531419062	2.555253697481867	2.657380419806873	1.726994812605312	1.7552141165870925	2.6220010359447308	2.6658995513698667	1.8721088653895148	2.235156783951972	1.6917705924428186	1.3225664855441004	2.5024558987144876	2.433019955609018	2.197520754725685	2.4247873319088833	1.7164349425261385	3.3520626023297964
S120	0.13226289280877204	2.4868142071945267	2.7813945645584592	0.47441752896554557	0.5011470747636405	2.985394250011149	2.1397445527219046	2.7970164426818407	2.246193395322995	1.2089359559430901	0.5242986507146679	0.5058340494072063	2.301435931923526	0.0	2.4377523035316258	2.2056333522374083	1.3883949837922884	1.9334479781489504	1.9316979429827832	1.7132068176388122	1.6676605171835677	0.7701071322669026	1.7477745119984758	2.6408668144525898	3.1179643696220762	1.5272333679551222	2.056492183080451	2.3613782740078606	3.1695420209062584	0.46592317143808637	2.0284084486624736	1.398066596213853	0.8590839882196499	3.6976263299832643	1.2968818827055604	3.455321079007467	2.7582656224746396	1.6361115566717976	3.88284142607608	1.7705527187942525	4.438942839619684	1.4249151353596399	0.7713618190202343	1.7085951911076276	4.84379107268717	1.9612587261589873	1.7903546403315824	1.724599769418569	0.9004914299039789	1.5828561563324155	0.14123227730428226	3.3205578202965365	0.9898606632248939	0.25123913099517986	1.6518994394768074	0.2162900655052861	0.4387907313527577	1.0440685804724745	1.788464177816876
S100	2.3734309211357973	1.305506977725983	0.5021479952813168	2.0133590690167646	1.947617859486902	1.3376147090005674	1.022134874188278	1.1485748407250522	1.2183832267418075	1.2409114225671933	2.1788763347508806	2.039705987525188	1.690504660740759	2.4377523035316258	0.0	1.2568494833463126	1.089375039388591	1.7485086614629939	1.9893221706793818	1.2672564543795468	2.1621507077018736	1.8679571330790723	2.5937147424198073	1.0666129211251465	1.574209135331645	2.3006332503167157	2.348153795562216	0.41530299886832767	1.6349018961012178	2.466072264346516	1.1455471935775103	1.856613550438908	1.6557746730405638	1.3497782330453318	1.1840220267274522	1.0825992993723026	1.553531434826102	1.3283059764780665	1.5262799756170382	1.2092265952285484	2.306344738324049	1.0347611962014864	2.0327943223118394	1.457676787028994	3.9361367397841867	0.5199599010100955	0.7073739110275951	1.5308485384891422	2.1708642794742774	0.9743797229339922	2.371060303340985	1.105640233994924	1.9045063151902335	2.497337623785082	1.3663001391185097	2.2325164587721154	2.2953320670817807	1.4044660924043544	2.420965790752925
S83	2.1134734923669423	2.411745156710464	1.7446304468780158	1.8671284293839692	1.743968453572731	2.56847019104047	2.0252278071080223	2.3691095514913747	2.2490786337377573	1.2946723266653566	1.7417039974274224	2.044280714862982	0.44106764653043734	2.2056333522374083	1.2568494833463126	0.0	1.0759815601874445	2.5643150557367407	2.761471606653551	2.014035603427569	1.109101893333481	1.4686158927495159	3.157573526450806	2.2596496312865373	0.9151653511253832	1.3085332247284525	3.0986472801342204	1.5285227852762049	0.9675892424201563	2.462166189003854	2.070968124188355	2.398465482746159	1.789487795347828	2.435701571287501	1.4795281678392003	2.1639290178557813	2.703808506169344	2.0232445994276866	2.6077768228172404	0.4603649232771177	3.498131423400669	1.101598801676757	1.5128521104784607	2.19746881111942	2.9458902510828118	1.3172513334965437	1.3675822117600172	2.2703840352847844	2.428219153962527	1.5184808944453476	2.131788719229928	1.3848630545809464	1.2841523472507317	2.376334292487172	2.070933772494769	2.0680697217387696	2.2707086951159905	1.4611702151785102	3.0445305526559827
S108	1.309827211850663	1.64906374978028	1.4997943855822873	0.9657017016416005	0.8909515186583407	1.9952881709001375	1.2432694431317048	1.7899526883710006	1.4354498843879016	0.2283305216130986	1.103716908924266	1.0748068768292942	1.3754678160423397	1.3883949837922884	1.089375039388591	1.0759815601874445	0.0	1.577438934025145	1.7517947050426443	1.0439249552884748	1.3603575451227046	0.8247987197047155	2.0871472144303476	1.6390760938049496	1.90699864230512	1.4259678038020935	2.060872858275385	1.0936319449621086	1.9680935721544648	1.5153575981086724	1.2043643539837523	1.3324164961316212	0.755580564568823	2.4199210505454007	0.4166791343112083	2.1593982689910827	1.9616918103617749	1.0486053849926436	2.5994595015120265	0.6594719838796858	3.2868959684732504	0.07380141312049898	0.9857654315896727	1.2037095009241978	4.009851147029367	0.697267498806867	0.58474748698575	1.265278510134703	1.3816758677088776	0.5611003401329773	1.3289725729122985	1.9483159071243055	0.8802233317132097	1.492317861217885	1.0954563898086613	1.196773055332321	1.313419160713905	0.4132858409536827	1.9815456486521486
S164	1.943004835890545	0.8061898799913958	1.7155432157551374	1.6586185030803402	1.70499094586827	1.333235828644408	0.7628545594852391	1.2169360477646338	0.6487814411502987	1.434028826660003	2.0886800783888915	1.4415476815608126	2.9276122097137427	1.9334479781489504	1.7485086614629939	2.5643150557367407	1.577438934025145	0.0	0.2557627989782827	0.5611741139368027	2.870701886427843	1.9388515267522974	0.9490335840597988	1.1051750188047578	3.2205129401971804	2.873644360617506	0.6041765265728768	1.466470198279304	3.282301306456886	1.6256836305557247	0.6646991131041269	0.5639736945748325	1.2167048053968428	2.451368682222264	1.1760139418178936	2.305764634439162	0.9574615874275679	0.5578371059083742	2.5937936901586403	2.2164173487314205	2.8147162733737603	1.5226859700747233	2.137089209016266	0.37546089845937547	5.4934191933301015	1.3338316575454734	1.226906304555687	0.3446421065459405	1.103690608115977	1.0746618705850473	1.911322885657341	2.8480207844401977	2.2064216489438135	1.808503895495997	0.5138999956629978	1.745948630066139	1.5885734564116814	1.3719723695116084	0.744142344413008
S32	1.9570623410782426	1.0336793608690453	1.9630867223843844	1.712155448211929	1.7638327381382022	1.5433496838990342	1.0030217983821934	1.4373156527699769	0.893221617917203	1.5902615278785883	2.143010432754434	1.4606080497389244	3.113559421391004	1.9316979429827832	1.9893221706793818	2.761471606653551	1.7517947050426443	0.2557627989782827	0.0	0.7830295813524996	3.0006015326066744	2.0210174974112745	0.7434772102075832	1.3380380866882144	3.4414667138183113	2.985576738052677	0.39005528287242036	1.7185670647601374	3.502399910387601	1.576967202563885	0.9195173163559689	0.5816573474164325	1.2956673777036358	2.6742157328971263	1.342208787313371	2.5359291453697503	1.1424697436846014	0.7414662295345521	2.8174835035849393	2.4001346062050706	2.998284307107249	1.7015435062922775	2.2135936433690158	0.5825270738246004	5.692852130002907	1.5644781578782285	1.4498521630883257	0.5489087923557838	1.0560029047295132	1.2819182810731105	1.9140668554815818	3.0896284901616804	2.309570686137845	1.7781224206702302	0.6948479458863291	1.7606868837222642	1.5846748503531396	1.5044452532115007	0.5358312863176049
