	S339	S253	S284	S375	S366	S249	S258	S298	S335	S370	S225	S273	S241	S391	S306	S354	S239	S389	S271	S302	S256	S262	S372	S392	S295	S384	S270	S226	S347	S307	S382	S238	S292	S228	S277	S388	S265	S361	S236	S260	S251	S362	S216	S212	S227	S348	S250	S211	S338	S297	S390	S371	S291	S309	S235	S283	S269	S381	S325	S222	S206	S365	S264	S218	S332	S204	S329	S205	S232
S339	0.0	0.8421575484760229	1.2053971566441437	1.9263786860656034	1.922870071126131	2.445669480833588	1.2893726255388214	1.0198466435713838	2.9014146151410047	0.5553482254508774	1.7360191933619153	0.4010651316783526	1.459183684261015	3.351560079212573	0.5359625685687226	0.7318240938886452	1.6767356507076228	3.016557130334171	1.6100144944115926	1.9712171462892825	0.4698779035101602	0.8191059015870581	1.1357632067703505	3.120401196088908	1.172752853141831	3.6377980266957404	1.0286192837483132	1.15135548680073	3.4131095878174853	1.582012622320228	0.9594416902083678	1.7756196574204568	1.2727360430622092	1.3717414718220768	0.22011275668245503	2.8328155262261534	0.2967411991099628	0.26693766877807684	1.6831815763271434	0.6993909819262044	0.5129836625112194	0.3001182774472025	2.5362839514119813	0.7051379847912348	1.5574639780923427	0.7745035894219976	0.5849872319682043	0.8867307775459521	1.3928566429148697	1.2961006264057564	4.442620018505924	1.6951093660564402	1.6431655399099676	1.6306009623335633	1.4688753549287472	1.3047531186123462	1.7079053631371293	2.3287255843823145	2.3395524745692993	1.0276305370479448	0.21435871782097898	0.5642619791844787	0.3131588553664523	1.438838234245567	1.999437608383108	0.9178880226253625	0.35491450070239366	0.26107772747867664	1.6455310094683677
S253	0.8421575484760229	0.0	0.49638903147186114	1.683486261639579	1.1326837179555946	1.7956527226167587	0.4655936209147685	0.6111890626257125	2.4360338103606995	1.393610933452537	2.4729654910121392	1.1074105021225684	0.7258314171420576	3.500427330575804	0.5623028219126098	0.4486960074345122	2.479098481316222	3.5946903025701844	0.7893140228463452	1.7416510634979852	0.8844220295519587	0.6217593437852501	0.6174430523631951	3.4836268728156523	0.7146985781656093	3.264672057394596	0.2669150819956396	1.5689315352654336	3.2048397541376206	0.7646730796017775	0.2542573154351518	0.9501631840413838	0.9511747300760709	2.0957011508072685	1.0179936889379821	3.3042871408922383	0.9813022631976975	1.0676001548665188	0.9552623434920757	1.3060827800785664	1.344831445151259	0.9974683241951491	1.9126711333773243	1.2306870092874629	2.219258636830323	1.4349131199938885	1.2998268157812887	0.6776254813330932	0.6252371992022809	1.4195596984115697	4.350686105215129	1.0224627676623985	0.8265611001525887	0.9613982306855293	1.9478312364964667	1.7041812038708966	0.9701285225466193	1.9210634238668471	1.6123503980267302	0.24978052088383876	0.9956227369986174	0.40916147182599516	0.9803708730973095	0.6266040399113741	1.2578082072141639	0.15756292089598975	1.1076017064776895	0.6564144911778974	2.443368887361956
S284	1.2053971566441437	0.49638903147186114	0.0	2.040999105044586	1.1399917531417474	1.9167538280165488	0.2802704528368221	1.0472517432840838	2.6651000098211592	1.7491830238759496	2.8842558726136156	1.5344137116102057	0.8818865365007608	3.90772281723037	0.7358905619161098	0.5180070143499936	2.8727546251767464	4.027338043353892	0.7352554838430454	2.0972431650932335	1.053147047032782	0.5833422964772961	0.9782425934440883	3.913620678946736	1.0777018401618763	3.51439337057476	0.23062582616569563	2.036232178518033	3.5231242117579664	0.7629355883382499	0.2830292426421649	0.7707726884686521	1.3182983481803376	2.479572004294459	1.3393845629963121	3.745020582183812	1.2440187340024815	1.4125035500724923	1.0723475225517982	1.7444702585747625	1.7169651032154598	1.301607962605952	2.0548097533566794	1.678944512675392	2.6517732163342274	1.8569182067855672	1.5241564273463317	1.1028733786361673	0.21219421558323026	1.8718190471978327	4.68926325960828	1.2130917647232549	0.772955342988825	1.1442296579446396	2.4062143317663307	2.1647322540853513	1.0883776750544667	2.194202219448579	1.6605241456835733	0.30247167188654833	1.3951100556511975	0.8737289693940065	1.2706592762550355	0.4025681750489685	1.2779757181348395	0.361526796923391	1.377654687909697	1.000228168190728	2.8163472437311015
S375	1.9263786860656034	1.683486261639579	2.040999105044586	0.0	1.4900279978798892	1.1741462103385227	1.859334838317691	1.100722502716257	1.090111750978484	2.185106116836566	2.4643571511295317	1.7773303566954413	1.2634196855948976	2.019050888410214	2.04551387222329	2.04867596513027	2.718275628103449	2.891739794968663	1.5927477408791944	0.07031955797691185	2.2774861494119314	2.2547432924837385	1.0759306774031852	2.341170585510587	0.9753494877236515	1.7177170980922671	1.856559933642748	1.3212014969789845	1.5300277322346252	1.5458992518710923	1.8399399913471335	1.7773287416472565	0.7548091927622933	2.2325560863999363	2.04843869873639	2.399568238298055	2.208963838603962	1.9888761328033864	1.221678291757655	1.6275373020850783	2.1251311570185796	2.0022796676280867	1.1523837273483857	1.5051469997532372	2.079353262940816	1.7457896589543345	2.4971070085882543	1.1093737029378823	2.024750997819225	0.8252945330299454	2.6748164471910325	1.079240476000787	1.579811245603095	1.0663696171107973	1.5258168084380381	1.3001347302134716	1.255510016585992	0.527559486245584	1.3805846071156946	1.8651701532923481	1.87771843115458	1.5047448554289211	2.2177156586931264	1.813891967540867	1.3434365058074729	1.7609326091792814	2.221979794706417	1.823121104766552	2.691189019448316
S366	1.922870071126131	1.1326837179555946	1.1399917531417474	1.4900279978798892	0.0	0.8409280216221685	0.8774932572736517	1.0445351880914482	1.6901635587965524	2.441341180282494	3.316104875067625	2.073525339059023	0.49323759288243346	3.5041357171171206	1.672074850237548	1.5147984263668772	3.4150311871871466	4.1609090525546	0.41492653763359827	1.5472236951534872	2.0102606187952032	1.6570377834326677	0.9041135634027996	3.773559909120641	0.9489156158710658	2.568351525194816	1.0988078591297339	2.1962731818915913	2.748113764176244	0.3870746510576294	1.1596026091880525	0.49168251558367054	1.1156354848552927	2.966656517297445	2.1008856999173195	3.746428113340128	2.1045879572723116	2.123356473553084	0.3300958593716703	2.1614848833710636	2.38276220660816	2.061073829920401	0.9842475951857544	2.046887573513766	2.9884806683210763	2.3087174704349827	2.4282073626954017	1.2582274425618711	0.9925654377367361	1.8065658761070449	3.9675511674453476	0.4408035378517373	0.3847929154572874	0.47594510635352744	2.554021372745773	2.2807596048790666	0.2809366853501348	1.380537764923459	0.5441629214993025	1.0891749155879444	2.0264798060008076	1.3721924768664435	2.0982342133314114	0.7705482038692048	0.33842472724546785	1.1262299595281995	2.214990954839427	1.7323652341319224	3.382763022800444
S249	2.445669480833588	1.7956527226167587	1.9167538280165488	1.1741462103385227	0.8409280216221685	0.0	1.6650331633252164	1.4396807871780097	0.8901787374472412	2.8864993876745304	3.498763575660216	2.4760414924799057	1.0783968323376945	3.031472792037706	2.3179015993570493	2.2060700524969596	3.6846087876491738	4.061392044790694	1.1973434552977353	1.2091755361174736	2.641387401832772	2.380752078251147	1.3125001519157855	3.4845513567913753	1.2847044197534248	1.7539304635172235	1.8328083863006595	2.3198597865471617	2.035461918272118	1.1700193180764222	1.8690209837433058	1.2713324039076532	1.2825027138409122	3.2004013342155724	2.6122881978218504	3.5715245990947304	2.680834991281113	2.60130187627266	0.8559173383435508	2.4595497512285793	2.8236819264306963	2.5633646941148895	0.15396598969106778	2.3317809841208326	3.129535831498847	2.6026122456431735	3.0077122287489386	1.6099876639882422	1.7871417453232696	1.8367794648972204	3.251013278325833	0.782930147108618	1.1625179747938446	0.8403838995193073	2.6092914062733423	2.3515127390844537	0.8486539830659681	0.7912285555698003	0.35553861924656666	1.8325624947677126	2.4915664550934378	1.8891421688239654	2.6795337183707484	1.5443228256348305	0.6867266616273946	1.818215742420932	2.757568134062144	2.2730020617922087	3.65443699760263
S258	1.2893726255388214	0.4655936209147685	0.2802704528368221	1.859334838317691	0.8774932572736517	1.6650331633252164	0.0	0.8969497311101151	2.426724575624894	1.8432710878923553	2.930077370534741	1.5722987779827664	0.6474165909168887	3.783428767409859	0.8981192776864276	0.6995600097101705	2.9411039113457704	4.0174484560921195	0.48967134221781977	1.9187726984471773	1.2292426498847724	0.8017988003230697	0.8174259959506083	3.8445416280911555	0.9206055845497623	3.287915805925824	0.2796769080473088	1.9934905248300612	3.326098781896124	0.4998323751649485	0.3709505388371821	0.5701976152205049	1.1743005712109162	2.5423378801427545	1.4510125302297283	3.7024192655244392	1.3831394206363077	1.510295826701749	0.8252880562437738	1.7616725802599003	1.7992447740746191	1.419676351267046	1.8017454411544103	1.6805584187496334	2.6701269288686116	1.8899500015507265	1.6836538437163688	1.0213213622448698	0.23631242927127338	1.7751246161904577	4.509507226338246	0.9601255471191584	0.5307925649792121	0.9080181794758968	2.372426343759324	2.1181132685004402	0.8289985513258755	1.9772746580423732	1.4073420563823238	0.2826731025014145	1.4556663912770935	0.8610942581316067	1.387923300573992	0.24513908145838967	1.0475332463427172	0.3840415950682239	1.51735194883501	1.09080229868222	2.8981336193942098
S298	1.0198466435713838	0.6111890626257125	1.0472517432840838	1.100722502716257	1.0445351880914482	1.4396807871780097	0.8969497311101151	0.0	1.92778004391609	1.4666243180369973	2.286989904845826	1.063207913831963	0.5927992173836228	2.9446217520560647	1.029732753349853	1.0072645347635336	2.3768619448510098	3.231606707395341	0.8884819980077757	1.1618889332434112	1.2927371898529296	1.1992556155824228	0.21999259423846154	3.0037605938532845	0.2491284173787747	2.724757037938429	0.8304978224900479	1.1942379052017091	2.6270781020541913	0.8268881294348903	0.8195362179798199	1.115532441640302	0.43632655555224237	1.9589254001046539	1.2005128796508773	2.875884882162197	1.2764829947271983	1.190970389375558	0.7631012476869471	1.1311921252512553	1.400054316107571	1.1795223628112528	1.5236020157374996	1.0162926342519998	1.9684705596345304	1.2848506935748645	1.5954313080206401	0.327325166907465	1.0955902360314707	0.9123658487611651	3.768757191798714	0.711160282598307	0.9061173350902697	0.669567308431659	1.5733382891101197	1.306236520727774	0.7808880310126445	1.3883049057381283	1.3690179349459055	0.8112057039350812	1.058867588260837	0.49531941218809983	1.2608346914341417	0.961478576016027	1.0993791122569088	0.7246202816031865	1.35274375310252	0.889616049368181	2.358435344276113
S335	2.9014146151410047	2.4360338103606995	2.6651000098211592	1.090111750978484	1.6901635587965524	0.8901787374472412	2.426724575624894	1.92778004391609	0.0	3.232434795423095	3.536746447598371	2.812578294996811	1.7859298897651106	2.4043170861682275	2.9089092274430213	2.8483577382274827	3.7981612642694396	3.7768732711493342	2.000033220523959	1.0815854725129974	3.1946663052158053	3.0434373419699976	1.8491038379234583	3.0312237658086203	1.7789525357262104	0.8851295741878654	2.5372841577301646	2.4022432193601837	1.202562271682956	1.96289794578861	2.5532669490654034	2.109329223349584	1.6519080367773913	3.3199820038141388	3.04829219941598	3.230711200149908	3.1731427688676193	3.0060766311685168	1.6073710208048184	2.7006054346551895	3.1681940602681467	3.000592024117481	0.7491952251420377	2.57507506971364	3.1493781604932245	2.8266160930921913	3.483585634953441	2.03742740154998	2.570015144006965	1.9111118244127518	2.399274416572685	1.4767611947912054	1.9696479304310126	1.5225950975135962	2.5866196882809054	2.3776066426015214	1.6127974813136934	0.595157029943579	1.2456376770776314	2.5377669548149147	2.886660918314061	2.3994361593372893	3.1714939500221107	2.3254725282671918	1.5124730890328804	2.487195688650313	3.2148492003059803	2.767193194687398	3.7783662302505263
S370	0.5553482254508774	1.393610933452537	1.7491830238759496	2.185106116836566	2.441341180282494	2.8864993876745304	1.8432710878923553	1.4666243180369973	3.232434795423095	0.0	1.262791516867006	0.4300904983313479	1.9649572433818976	3.282939873741113	1.0386584521097093	1.254000175872141	1.1439730105081536	2.6414125541557993	2.1458844073908265	2.2186970782757145	0.8303526063049863	1.3078398165184861	1.5973893627518256	2.906287464352928	1.6095621120248123	3.895511772040396	1.5799425598600698	1.0827832627002234	3.576173117310914	2.116484401167259	1.505921074166921	2.315818634642379	1.642047574863745	0.9355296331063906	0.4205270467812511	2.546795848277636	0.5742817848266139	0.35985573825103995	2.179580692876892	0.6011071049840071	0.09481414875363324	0.5112809567580046	2.9618782543304163	0.7008726763259531	1.1731976938392112	0.5590675789374975	0.5515925295864045	1.2893231037622472	1.9392015227582473	1.421633118958018	4.506290995543231	2.1707211687186305	2.176820901307466	2.1062296259830053	1.2790923954364908	1.216167075534349	2.2082598771953816	2.6496396509729685	2.8207411376421674	1.58279249687195	0.4222631781051558	1.071065804977648	0.5966446119615783	1.9837249301696274	2.493481842458116	1.4678891161317442	0.45371990459877415	0.7706272439152128	1.115863434274462
S225	1.7360191933619153	2.4729654910121392	2.8842558726136156	2.4643571511295317	3.316104875067625	3.498763575660216	2.930077370534741	2.286989904845826	3.536746447598371	1.262791516867006	0.0	1.3928935768155213	2.83788467612079	2.6555398094663483	2.225345148681992	2.4322334689031724	0.439348152647387	1.4508175422815057	3.105279495195528	2.4660245845493693	2.067185864997945	2.526434208439106	2.4139027910546127	2.0008444954675855	2.372978455900481	3.964245809541712	2.690678040135369	1.1906094908307265	3.4452675929614633	3.069721048098202	2.6122179182974596	3.296467712236582	2.2666454749579605	0.4705887413127692	1.6217962951738931	1.5261128324361732	1.8242117455029314	1.5190520679849673	3.0053392442130415	1.179355682965826	1.2841602402709207	1.6422911273211132	3.5287422963942165	1.2796542251065262	0.3878318533623827	1.0414662197166458	1.767058835846996	2.0678623082966867	3.045510966229998	1.6735854968703776	4.080213749765279	2.9454283375510335	3.1258658885944266	2.8839372968882304	0.9547126369010154	1.1695763126618748	3.044426630527848	2.9908127909778917	3.550828984948115	2.703558131423835	1.5450614884561742	2.0747559385869727	1.8526320963956997	3.0253563926836744	3.2880290517602027	2.55943826692904	1.6802071190069499	1.8936256474983995	0.4061859594748948
S273	0.4010651316783526	1.1074105021225684	1.5344137116102057	1.7773303566954413	2.073525339059023	2.4760414924799057	1.5722987779827664	1.063207913831963	2.812578294996811	0.4300904983313479	1.3928935768155213	0.0	1.5973492568766436	3.0251601580837457	0.9165788639222976	1.1008265872259873	1.3771598384618	2.6410995686529453	1.8141371924166945	1.8151201609315455	0.8537232457693011	1.2114127042236256	1.2091412522845728	2.755778937357027	1.2136847734507898	3.490659752396253	1.3334189979017221	0.791710960675269	3.2009289588225394	1.7751095297709205	1.2666105830608319	2.0041672327808877	1.239368644075712	1.0647334855860504	0.4325362532649086	2.454237321676548	0.6305915032299501	0.34775138190266036	1.8010646070651743	0.33322884006519	0.35724455042805114	0.4953021971360934	2.5461088814334043	0.3673508709073285	1.1837031162392189	0.4195051757172877	0.8038832844430193	0.9014457001728223	1.7028040947356897	1.0429085720654412	4.177275586714169	1.7731406198290574	1.8424085964409236	1.7160766033356727	1.08860572069719	0.9480294009642696	1.8272083509618098	2.234643908765246	2.4264348520277563	1.3277546410156436	0.1972735811966685	0.7353711885788008	0.621800312669775	1.7046272108618055	2.1220348520361756	1.207129152156544	0.590572922975124	0.5735784619098332	1.3648606094477163
S241	1.459183684261015	0.7258314171420576	0.8818865365007608	1.2634196855948976	0.49323759288243346	1.0783968323376945	0.6474165909168887	0.5927992173836228	1.7859298897651106	1.9649572433818976	2.83788467612079	1.5973492568766436	0.0	3.248354254072061	1.2518833443314614	1.1289727759215347	2.935346018346816	3.733955458730575	0.3475014095079848	1.3227874713095702	1.5843027917846864	1.302968362270384	0.4268968667476554	3.4194039182169966	0.4872102978413571	2.6420145679455396	0.7623716027607333	1.746231861754431	2.688971143235648	0.298476193423198	0.794209200497748	0.5683411794779958	0.6971106462493829	2.4787165221357617	1.6297663918551835	3.3492410174747427	1.6560939963237788	1.6450255482157854	0.23239752551312515	1.679345057895012	1.909061695994347	1.5844874642101467	1.2037241375907806	1.5666741971855382	2.518715549825893	1.8233807958453752	1.9837061349565928	0.7725766628893088	0.8084890445863013	1.3930119414015072	3.8836388384860414	0.34578048327374583	0.3486943771784962	0.2633394193167664	2.110296068972753	1.838197190818418	0.27203836987186125	1.3314787931016512	0.8966494966334034	0.7697963757945531	1.5557889133692016	0.8988565292984843	1.6622079196439477	0.5835062693242825	0.5554995475552166	0.7398771872892762	1.7526830360293673	1.2643906824994557	2.895224998771467
S391	3.351560079212573	3.500427330575804	3.90772281723037	2.019050888410214	3.5041357171171206	3.031472792037706	3.783428767409859	2.9446217520560647	2.4043170861682275	3.282939873741113	2.6555398094663483	3.0251601580837457	3.248354254072061	0.0	3.666113967264289	3.756539515761891	3.0644205604521866	1.9316430110168934	3.581490639009111	1.9585945913914884	3.7698075277643213	3.953429403859621	2.970363867382908	0.9192689304292339	2.86525591797681	2.169542886600516	3.706791914616742	2.240163395774855	1.4431120940502857	3.542038145574338	3.6608420132397965	3.759134548205706	2.609440119442387	2.7073037929748085	3.375947428441099	1.3887245401928368	3.608068796474587	3.2707465362013712	3.230538541731318	2.7180730284777184	3.2497618128398793	3.3342738092960094	2.9521319098922643	2.6661254084090005	2.3763261476853734	2.728198841775233	3.7824509948613243	2.82841445274686	3.93416670355211	2.1171577047376005	1.480059052224564	3.097542235671961	3.57046394198131	3.074610560729751	2.0247270696745314	2.0836758016473134	3.2712962714697067	2.2414504051813626	3.3172753591349142	3.7274438412412993	3.2060963778065124	3.1834246144210754	3.6351361502727624	3.7489605252487515	3.3206104162379333	3.5851466564439263	3.5348679975215194	3.340754363812017	3.039795085228577
S306	0.5359625685687226	0.5623028219126098	0.7358905619161098	2.04551387222329	1.672074850237548	2.3179015993570493	0.8981192776864276	1.029732753349853	2.9089092274430213	1.0386584521097093	2.225345148681992	0.9165788639222976	1.2518833443314614	3.666113967264289	0.0	0.22168292234601364	2.17450154155348	3.473181388178393	1.2962004684567918	2.09486114646936	0.34713541029655354	0.3195440372013215	1.062659507253044	3.5117475835957883	1.1327783617202152	3.6994534859757118	0.6196663341242482	1.574068708819525	3.562470531872145	1.2937237291308545	0.54219076278429	1.4108709114751263	1.3043383114140794	1.8220223536978077	0.6236613707037719	3.2651290557543033	0.5179229210226916	0.712417017743227	1.4835398461753322	1.1667078621601723	1.0200738853668634	0.5964951092396126	2.433047436803496	1.142218830751563	2.0428015734135836	1.2470541756691595	0.8076100664639162	0.9374686657909362	0.9374228951424519	1.585532176278448	4.651212778484507	1.557691462485313	1.3323180912569115	1.478065858948844	1.9122319017342426	1.7152168956030727	1.512082159090556	2.3582947348774383	2.1443812709657095	0.6562203631983116	0.7470858281254866	0.5645672178997506	0.5902008546049627	1.0391838342166915	1.7617605732099753	0.5504817099483262	0.6426776119698075	0.36482900011106717	2.114225615844192
S354	0.7318240938886452	0.4486960074345122	0.5180070143499936	2.04867596513027	1.5147984263668772	2.2060700524969596	0.6995600097101705	1.0072645347635336	2.8483577382274827	1.254000175872141	2.4322334689031724	1.1008265872259873	1.1289727759215347	3.756539515761891	0.22168292234601364	0.0	2.3896578700832714	3.654288438138275	1.1259659172043763	2.101005803546524	0.5396411667210468	0.21047630810208087	1.0125759699393082	3.649291103854648	1.0960218589300188	3.661252932161191	0.4275414088436988	1.7169656069304107	3.5678237700773408	1.1297567914252609	0.35988388443622954	1.223553811655396	1.2972496952691135	2.028447892113235	0.8409628007814156	3.424545567662285	0.7303333830840739	0.9258623437960619	1.3565317005253488	1.3431405977348492	1.2304003521435265	0.811947645202554	2.328726177886816	1.3043899589169534	2.235285047778217	1.4355239352207367	1.0104577000892174	0.9631089376799273	0.7235776855649398	1.672094355144322	4.683913671453436	1.4495374219138981	1.163472060989993	1.372297802822913	2.068977816964251	1.8562260067061065	1.3813485894070767	2.317327279838233	2.006960340307729	0.4733329618567017	0.9384524586746825	0.6094634567128557	0.7783551006602949	0.846106401815979	1.621221878773855	0.39343888407513444	0.8629549027337728	0.545409231468079	2.331721102900631
S239	1.6767356507076228	2.479098481316222	2.8727546251767464	2.718275628103449	3.4150311871871466	3.6846087876491738	2.9411039113457704	2.3768619448510098	3.7981612642694396	1.1439730105081536	0.439348152647387	1.3771598384618	2.935346018346816	3.0644205604521866	2.17450154155348	2.3896578700832714	0.0	1.8123407239443736	3.176456024508244	2.7295371278101914	1.9613987021797419	2.450620103339423	2.5207744992303858	2.419257896499629	2.4971273640937492	4.2826700754523035	2.68935774361215	1.3998526673802194	3.797398133298954	3.139011914378035	2.614245480260107	3.364817258761375	2.433388582660237	0.6634423113347178	1.551110028000016	1.9336966109063751	1.7118831171586808	1.4664902830382667	3.121179843766342	1.260578022354958	1.1734016273797374	1.6021437683025106	3.7252176480587997	1.3796996192982516	0.7327274736158009	1.12492444053514	1.5876292373166287	2.181153932861241	3.0520855370683417	1.899942010913612	4.476635286003134	3.069432479705611	3.2019585984853207	3.013271150200549	1.2556046154339329	1.427178722161963	3.1527929152922334	3.2420877637136116	3.7035048753272672	2.6912342197342767	1.4938041208435828	2.1047806221497933	1.7192121036127002	3.0646292327101667	3.425376862262786	2.5665350436372334	1.5734931029654389	1.8745987927413374	0.2725954657361606
